experiment,accuracy,f1,auc
baseline,0.8238,0.6941,0.9016
feature_poison,0.8057,0.6786,0.8943
feature_poison_clip,0.788,0.6614,0.8899
feature_poison_krum,0.766,0.6315,0.8639
feature_poison_median,0.8099,0.6809,0.8952
feature_poison_only,0.7986,0.6699,0.8943
feature_poison_trimmed,0.7988,0.6717,0.8939
label_flip,0.7769,0.4803,0.787
label_flip_clip,0.7696,0.406,0.7711
label_flip_krum,0.8228,0.6412,0.8666
label_flip_median,0.8051,0.5657,0.8439
label_flip_only,0.7764,0.4777,0.7871
label_flip_trimmed,0.785,0.5013,0.8026
scaling,0.7898,0.6524,0.7906
scaling_clip,0.8221,0.6912,0.9034
scaling_krum,0.8056,0.6539,0.8704
scaling_median,0.8183,0.6843,0.8892
scaling_only,0.7898,0.6524,0.7906
scaling_trimmed,0.785,0.6438,0.7834
sign_flip,0.7968,0.6091,0.8273
sign_flip_clip,0.7757,0.3107,0.8361
sign_flip_krum,0.7752,0.6579,0.8898
sign_flip_median,0.8359,0.6704,0.8942
sign_flip_only,0.797,0.6095,0.8273
sign_flip_trimmed,0.7462,0.6312,0.869
targeted_flip,0.764,0.101,0.8815
targeted_flip_clip,0.7867,0.279,0.8938
targeted_flip_krum,0.8228,0.6412,0.8666
targeted_flip_median,0.7998,0.396,0.8787
targeted_flip_only,0.764,0.101,0.8815
targeted_flip_trimmed,0.766,0.1175,0.8794
